cu_id;kategorie;curve_skewness;area_total;slope_rising;slope_falling;global_max_x;global_min_x;Top1_Minima_Druck;Peak_to_Minima_Diff;cluster;PCA1;PCA2
25;2;1.448519690439292;866.541487612878;59.80601425343299;-51.71239274851099;0.5332500338554382;0.3621875047683716;-2.510033130645752;635.2101674079895;2;-3.6016575085827247;0.6905958784753305
26;2;1.5016529123797497;929.5963316095928;340.340958199024;-138.87752123056163;0.5651875138282776;0.4024375081062317;-2.086498022079468;719.8217885494232;2;-3.758902551345946;-0.614655813659784
27;2;1.4577157809999597;872.9208677318059;131.19193464716702;-99.65481044001893;0.5459375381469727;0.3923750221729279;-3.25246524810791;653.2384881973267;2;-3.2188650185472465;-0.6279874173556135
28;3;1.4026580146173249;902.0906773322912;214.27084980793208;-69.18418917077852;0.5634375214576721;0.3420625030994415;-2.144867420196533;641.4037175178528;2;-3.4153448679980856;1.0372388788546238
29;3;1.5520921393624116;876.7403205513629;112.61313595052937;-304.51990824915407;0.5681875348091125;0.4225625097751617;-2.726427555084229;717.9625115394592;2;-3.500613525168507;-1.3130644277388703
30;3;1.4585700701467463;889.9264180114194;140.78529811005535;-118.63127996896111;0.5332500338554382;0.3823125064373016;-2.739240407943726;659.6548898220062;2;-3.901714016392407;-0.20808577410090937
31;3;1.3358683812677448;1055.0903355367413;100.52139123615592;-168.187346915807;0.5735000371932983;0.3320000171661377;-2.016739130020142;687.1633455753326;2;-4.068559459096744;2.245099092165303
32;3;1.4781601492679854;835.8210497139942;306.02845126568394;-174.34513819796646;0.5634375214576721;0.4426875114440918;-4.429109573364258;653.8877277374268;2;-2.3819091929998617;-3.1773350482337466
33;3;1.4917863194243828;867.732859453554;256.7877716272609;-140.30232848797718;0.5634375214576721;0.3923750221729279;-2.421766996383667;673.3631732463837;2;-3.2732647916010364;-0.6166752642750497
34;3;1.3280036688956658;1105.2238658363465;125.24824620954968;-179.55619280008682;0.5755000114440918;0.3320000171661377;-1.886475324630737;699.842346906662;2;-4.288101673675514;2.437309891438203
35;3;1.4983957958133867;865.970861755954;458.3114036745529;-22.130267089180624;0.5537500381469727;0.4225625097751617;-4.109500885009766;685.1424598693848;2;-3.1043567442799422;-2.8650451406602713
36;3;1.4438828957216054;849.1798432007781;151.3492022592043;-145.19217395940078;0.5634375214576721;0.3722500205039978;-2.246658325195312;638.4005279541016;2;-3.0146453718430757;0.27979579473060934
37;3;1.3344395792485964;1044.0803325383504;273.12853593017434;-53.374212923747635;0.5634375214576721;0.3320000171661377;-2.017451047897339;683.3536326885223;2;-4.180796090572844;1.8122391980450545
38;3;1.520689215480875;867.9821117213271;138.12294590136847;-220.29055465305174;0.5671250224113464;0.4225625097751617;-4.063232421875;690.3999633789062;2;-2.974579264735242;-2.1491509719168818
39;3;1.4657665925762327;858.8632601797656;184.13687911124538;-142.64765639345816;0.5634375214576721;0.3722500205039978;-2.195406913757324;650.4681119918823;2;-3.220400633792101;0.15391620795877367
