cu_id;kategorie;area_total;slope_rising;global_max_x;global_min_x;Top1_Minima_Druck;Top1_Minima_Position_x;cluster;PCA1;PCA2
95;5;616.747627076054;282.97871275982703;1.174750089645386;14.72318840026855;-11.12778091430664;14.72318840026855;0;0.42656627783559925;-0.3676811872647277
96;5;616.5437227026786;339.88954470402615;1.18081259727478;14.79856300354004;-11.70242214202881;14.79856300354004;0;0.5490896396497931;-0.1679015667321971
97;5;605.5411988085318;257.99806418553;1.18081259727478;14.74831295013428;-11.45890045166016;14.74831295013428;0;0.47555190857413393;-0.2519788603666082
98;5;607.871681536996;99.53546505572216;1.205937504768372;14.77343845367432;-11.45469570159912;14.77343845367432;0;1.5132426756414707;-0.2236556243665668
99;5;612.2174232681048;256.7285819603271;1.192812561988831;14.77343845367432;-11.27950000762939;14.77343845367432;0;1.0978820052306477;-0.2597184279755675
100;7;601.827661370975;272.66599230014106;1.181250095367432;14.69806289672852;-11.74061489105225;14.69806289672852;0;0.677111459023469;-0.22419958072194185
101;7;610.3098424242811;91.9879105915173;1.205937504768372;14.77343845367432;-10.71221733093262;14.77343845367432;0;1.6334253185183303;-0.3686170911356252
102;7;603.4989316126159;143.25277207099538;1.205937504768372;14.72318840026855;-11.42876720428467;14.72318840026855;0;1.6810079075362827;-0.25045551928361587
103;7;598.2068003371633;125.45716278473593;1.205937504768372;14.74831295013428;-11.87796783447266;14.74831295013428;0;1.6690519512818103;-0.12104032084546662
104;7;603.9592896078215;76.28511645782027;1.205937504768372;14.72318840026855;-11.43752670288086;14.72318840026855;0;1.549186805963146;-0.26836765363501697
105;7;602.3186339109874;332.6977168949801;1.18081259727478;14.77343845367432;-11.46625900268555;14.77343845367432;0;0.5029630069396018;-0.20433576451121482
106;7;600.2295868075827;178.2869259020894;1.18987500667572;14.72318840026855;-12.36150741577148;14.72318840026855;0;0.9218608770884442;-0.07681127986332656
107;7;612.6853157978301;242.32116604819433;1.18081259727478;14.69806289672852;-10.61796283721924;14.69806289672852;0;0.4726335938748678;-0.5008746863881843
108;7;600.2669723259648;136.64273140921182;1.205937504768372;14.69806289672852;-11.12287616729736;14.69806289672852;0;1.6364822526660874;-0.3346637518390636
109;7;602.0537910883858;143.12766472293146;1.205937504768372;14.77343845367432;-12.52198600769043;14.77343845367432;0;1.5669712476566335;0.014067683699632162
110;7;610.651240563983;220.64515353886134;1.18081259727478;14.74831295013428;-10.62216758728027;14.74831295013428;0;0.5327651566019594;-0.4356823597654457
111;7;602.1040599386142;280.93775867473227;1.182187557220459;14.74831295013428;-11.0517463684082;14.74831295013428;0;0.6156138628705786;-0.3121614318171091
112;7;597.9940800805732;164.06685114831603;1.18987500667572;14.79856300354004;-11.29246520996094;14.79856300354004;0;0.9114392249124165;-0.20084285224118523
113;7;698.6898496327077;28.072631344210524;1.205937504768372;0.0;-0.02740056812763214;0.0;0;2.3531171663044312;-19.08402961166229
114;7;550.24634918782;107.52200019040522;1.205187559127808;14.77343845367432;-9.838693618774414;14.77343845367432;0;1.5169945219753003;-0.3621400469305522
115;7;560.8977529012716;112.57232056859776;1.205937504768372;14.77343845367432;-5.101759910583496;14.77343845367432;0;1.5690635034198368;-1.3346197669672006
116;7;520.6118882668912;102.8103035162691;1.205937504768372;14.79856300354004;-7.553093910217285;14.79856300354004;0;1.756869836977632;-0.6770611249111849
117;7;515.6594196121329;80.19398603486111;1.205937504768372;14.77343845367432;-5.466866970062256;14.77343845367432;0;1.6712073298386236;-1.1132611175491844
118;7;479.61103204712566;34.04134501786277;1.205937504768372;14.77343845367432;-6.839698314666748;14.77343845367432;0;1.657751907230052;-0.7333517267009356
119;7;439.91298352344364;377.1944354823371;1.18081259727478;14.72318840026855;-9.557680130004883;14.72318840026855;2;0.4438482297469268;-0.13137669524520007
120;7;449.4649142523012;228.00877965186598;1.181312561035156;14.77343845367432;-8.290316581726074;14.77343845367432;2;0.680706782088721;-0.3528793928359063
121;7;417.4050708658607;224.64985822668046;1.192500114440918;14.74831295013428;-10.12356090545654;14.74831295013428;2;1.1960896597331205;0.09841479083844658
122;7;385.32674856418737;63.50959134193215;1.205937504768372;14.77343845367432;-12.64041805267334;14.77343845367432;2;1.5257376863358536;0.7077046433921368
123;7;398.64083289954317;197.20185037248737;1.186062574386597;14.72318840026855;-11.96171092987061;14.72318840026855;2;0.7863237693555649;0.4749293639757693
124;7;378.0556876328453;264.78792337137315;1.197625041007996;14.62268829345703;-13.10328483581543;14.62268829345703;2;1.4564678603613745;0.6873912792097139
125;7;357.3130122342371;175.90048340726526;1.205937504768372;14.77343845367432;-17.064453125;14.77343845367432;2;1.6534176631441841;1.6955580196269309
126;7;400.18719888093784;226.40782772893468;1.18862509727478;14.69806289672852;-12.25533866882324;14.69806289672852;2;1.0037162698460884;0.5139213587260368
127;7;380.2328038342391;277.7055175718602;1.205937504768372;14.72318840026855;-14.45509243011475;14.72318840026855;2;1.9162565563677059;1.0820741308616957
128;7;377.0101174844342;39.439180501320344;1.205937504768372;14.72318840026855;-15.51117038726807;14.72318840026855;2;1.6010527960449648;1.2520652124053828
129;7;406.123710955568;223.49471085431955;1.204125046730042;14.77343845367432;-13.23853492736816;14.77343845367432;2;1.6482515458202383;0.7913981973297896
130;7;393.4104530652581;216.961595866049;1.204625010490417;14.72318840026855;-14.1663703918457;14.72318840026855;2;1.7156688297929;0.9633546681401379
131;7;407.6415928355186;229.11771041406092;1.205937504768372;14.69806289672852;-14.4985408782959;14.69806289672852;2;1.771853066967722;0.9600299192499524
132;7;422.6091948562912;80.49503945189407;1.205937504768372;14.72318840026855;-13.49887561798096;14.72318840026855;2;1.644947339871872;0.7158926200760118
